Model,Class,Size,Repeat,Accuracy
TAN,0,32,18,0.39275766016713093
TAN,1,32,18,0.9962121212121212
TAN,2,32,18,0.07575757575757576
TAN,3,32,18,0.1686746987951807
TAN,4,32,18,0.41
TAN,5,32,18,0.21875
TAN,6,32,18,0.5882352941176471
TAN,7,32,18,0.8095238095238095
TAN,8,32,18,0.29518072289156627
TAN,9,32,18,0.3559322033898305
Logistic,0,32,18,0.4178272980501393
Logistic,1,32,18,0.8712121212121212
Logistic,2,32,18,0.21212121212121213
Logistic,3,32,18,0.024096385542168676
Logistic,4,32,18,0.325
Logistic,5,32,18,0.06875
Logistic,6,32,18,0.24705882352941178
Logistic,7,32,18,0.24489795918367346
Logistic,8,32,18,0.22289156626506024
Logistic,9,32,18,0.3050847457627119
Logistic TAN,0,32,18,0.35097493036211697
Logistic TAN,1,32,18,0.9015151515151515
Logistic TAN,2,32,18,0.23737373737373738
Logistic TAN,3,32,18,0.060240963855421686
Logistic TAN,4,32,18,0.315
Logistic TAN,5,32,18,0.1
Logistic TAN,6,32,18,0.16470588235294117
Logistic TAN,7,32,18,0.3197278911564626
Logistic TAN,8,32,18,0.19879518072289157
Logistic TAN,9,32,18,0.23728813559322035
NB,0,32,19,0.8022284122562674
NB,1,32,19,0.928030303030303
NB,2,32,19,0.6868686868686869
NB,3,32,19,0.7108433734939759
NB,4,32,19,0.585
NB,5,32,19,0.29375
NB,6,32,19,0.5470588235294118
NB,7,32,19,0.673469387755102
NB,8,32,19,0.5843373493975904
NB,9,32,19,0.7175141242937854
TAN,0,32,19,0.584958217270195
